Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,55.384998,55.507500,54.875000,55.252499,51.729687,10654000
2014-01-03,55.437500,55.622501,55.057499,55.290001,51.764786,7809600
2014-01-06,55.294998,55.577499,54.897499,54.957500,51.453487,8577600
2014-01-07,55.187500,55.527500,55.115002,55.377499,51.846691,8178000
2014-01-08,55.355000,55.750000,55.160000,55.555000,52.012890,8487200
2014-01-09,55.887501,56.130001,55.415001,55.477501,51.940334,8386400
2014-01-10,55.459999,55.685001,55.002499,55.282501,51.757771,6429600
2014-01-13,55.505001,56.047501,54.652500,54.724998,51.235809,13554400
2014-01-14,54.685001,55.662498,54.582500,55.662498,52.113533,10851600
2014-01-15,55.712502,56.224998,55.457500,55.939999,52.373341,11288000
2014-01-16,55.797501,55.939999,55.322498,55.442501,51.907558,13514000
2014-01-17,55.512501,58.064999,55.509998,58.044998,54.344135,38344400
2014-01-21,58.597500,58.875000,57.705002,57.982498,54.285606,19752400
2014-01-22,58.099998,58.455002,57.919998,58.247501,54.533726,7254400
2014-01-23,57.915001,58.082500,56.915001,57.062500,53.424267,13662400
2014-01-24,56.599998,56.740002,55.312500,55.312500,51.785843,16043200
2014-01-27,55.517502,55.517502,53.779999,54.055000,50.608543,19470800
2014-01-28,54.404999,55.590000,54.349998,55.240002,51.717979,17852400
2014-01-29,54.775002,55.185001,54.125000,54.279999,50.819172,16800000
2014-01-30,56.437500,56.500000,54.077499,55.220001,51.699261,20040400
2014-01-31,54.032501,54.724998,53.777500,53.857498,50.423615,24457200
2014-02-03,54.127499,54.459999,53.017502,53.367500,49.964859,21662400
2014-02-04,53.540001,53.970001,52.845001,53.634998,50.215298,14913600
2014-02-05,53.310001,54.185001,53.279999,53.902500,50.465755,13520800
2014-02-06,54.020000,54.752499,53.945000,54.752499,51.261551,12721600
2014-02-07,55.047501,55.500000,54.615002,55.445000,51.909904,12537200
2014-02-10,55.472500,55.532501,54.997501,55.137501,51.622013,10316800
2014-02-11,55.282501,55.722500,55.012501,55.582500,52.038631,9809600
2014-02-12,55.860001,56.224998,55.722500,56.042500,52.563869,14650800
2014-02-13,55.712502,56.187500,55.615002,56.012501,52.535732,13158800
2014-02-14,56.067501,56.560001,55.877499,56.500000,52.992981,12682000
2014-02-18,56.619999,57.119999,56.404999,56.514999,53.007046,13427200
2014-02-19,56.467499,56.947498,55.919998,55.970001,52.495884,9322000
2014-02-20,56.040001,56.242500,55.647499,55.865002,52.397396,8810000
2014-02-21,55.932499,56.167500,55.744999,55.840000,52.373936,9136000
2014-02-24,55.932499,56.857498,55.867500,56.547501,53.037529,10817200
2014-02-25,56.547501,57.107498,56.372501,56.777500,53.253250,11339600
2014-02-26,56.807499,56.974998,56.314999,56.527500,53.018761,10413600
2014-02-27,56.547501,56.950001,56.400002,56.570000,53.058636,8097600
2014-02-28,56.617500,56.997501,55.174999,56.485001,52.978909,14004000
2014-03-03,55.810001,56.009998,54.897499,55.360001,51.923744,16422800
2014-03-04,56.287498,56.492500,55.645000,56.375000,52.875725,14884800
2014-03-05,56.404999,56.450001,55.575001,55.702499,52.244987,11328400
2014-03-06,55.939999,56.517502,55.830002,55.965000,52.491180,9120400
2014-03-07,56.237499,56.432499,55.884998,56.389999,52.889793,8971200
2014-03-10,56.377499,56.592499,56.180000,56.375000,52.875725,7350400
2014-03-11,56.487499,57.097500,56.157501,56.794998,53.269665,11062800
2014-03-12,56.529999,56.919998,56.322498,56.525002,53.016430,9394800
2014-03-13,56.665001,56.872501,55.107498,55.195000,51.768978,11996400
2014-03-14,55.154999,55.480000,54.639999,55.192501,51.766636,13692000
2014-03-17,55.497501,55.970001,55.345001,55.945000,52.472424,8800000
2014-03-18,56.150002,56.692501,55.812500,56.602501,53.089111,8304800
2014-03-19,56.652500,56.772499,55.500000,55.955002,52.481815,7888800
2014-03-20,56.029999,56.029999,55.227501,55.455002,52.012840,11890000
2014-03-21,55.742500,58.167500,54.924999,55.842499,52.376282,38092400
2014-03-24,56.347500,56.557499,54.775002,55.187500,51.761948,18228400
2014-03-25,55.547501,55.759998,54.599998,54.599998,51.210907,11675200
2014-03-26,54.987499,55.047501,53.919998,53.919998,50.573116,10657200
2014-03-27,53.722500,54.042500,53.262501,53.942501,50.594223,10489600
2014-03-28,53.619999,54.084999,52.630001,53.022499,49.731323,14950000
2014-03-31,53.197498,53.965000,52.917500,53.965000,50.615334,11639200
2014-04-01,54.270000,54.540001,53.637501,53.674999,50.343334,9090400
2014-04-02,53.695000,54.125000,53.342499,53.665001,50.333950,9344800
2014-04-03,53.947498,54.070000,53.345001,53.752499,50.416023,14210400
2014-04-04,53.892502,53.927502,51.437500,51.924999,48.701954,24449200
2014-04-07,51.695000,51.860001,50.255001,50.852501,47.696018,40124000
2014-04-08,50.705002,51.480000,50.500000,50.647499,47.503750,21745600
2014-04-09,51.145000,51.945000,50.654999,51.884998,48.664436,19142800
2014-04-10,52.064999,52.267502,50.037498,50.387501,47.259884,20403600
2014-04-11,49.807499,50.000000,48.709999,49.157501,46.106236,29939600
2014-04-14,49.950001,50.487499,49.502499,50.252499,47.133251,20925600
2014-04-15,50.959999,51.235001,49.792500,51.012501,47.846100,19214000
2014-04-16,51.750000,52.389999,51.369999,52.340000,49.091179,15832800
2014-04-17,52.584999,52.884998,51.987499,51.987499,48.760559,13364000
2014-04-21,52.244999,52.375000,52.097500,52.282501,49.037254,10012400
2014-04-22,52.334999,52.645000,52.132500,52.492500,49.234241,9840000
2014-04-23,52.575001,52.575001,52.000000,52.205002,48.964577,8819600
2014-04-24,52.450001,52.625000,51.897499,52.349998,49.100586,13547200
2014-04-25,50.000000,50.950001,49.639999,49.732498,46.645531,38239200
2014-04-28,49.875000,50.482498,49.752499,50.355000,47.229401,24263200
2014-04-29,50.472500,51.012501,50.447498,50.667500,47.522511,12760000
2014-04-30,50.564999,50.910000,50.474998,50.652500,47.508446,12145600
2014-05-01,51.025002,51.827499,50.840000,51.522499,48.324436,14273200
2014-05-02,51.435001,51.775002,51.000000,51.105000,47.932850,10908800
2014-05-05,50.937500,51.970001,50.750000,51.782501,48.568298,13792800
2014-05-06,51.674999,51.755001,51.299999,51.340000,48.153259,10873200
2014-05-07,51.752499,52.250000,51.110001,52.174999,48.936436,14732000
2014-05-08,52.232498,53.025002,52.152500,52.724998,49.452286,14613600
2014-05-09,52.544998,52.717499,52.037498,52.702499,49.431194,11795600
2014-05-12,52.770000,53.119999,52.757500,52.924999,49.639877,8732800
2014-05-13,52.997501,53.172501,52.849998,53.014999,49.724293,7137600
2014-05-14,52.799999,52.970001,52.465000,52.465000,49.301426,6838000
2014-05-15,52.250000,52.422501,51.605000,51.862499,48.735268,12685200
2014-05-16,51.897499,52.522499,51.897499,52.452499,49.289688,12279600
2014-05-19,52.345001,52.744999,52.212502,52.590000,49.418888,7039600
2014-05-20,52.580002,52.580002,51.849998,51.980000,48.845669,8740000
2014-05-21,52.212502,52.667500,52.147499,52.525002,49.357819,9096400
2014-05-22,52.532501,52.570000,52.174999,52.342499,49.186310,16870000
2014-05-23,52.497501,53.067501,52.427502,53.017502,49.820618,11117600
2014-05-27,53.247501,53.630001,53.205002,53.625000,50.391479,9676800
2014-05-28,53.625000,53.625000,53.252499,53.450001,50.227036,7223200
2014-05-29,53.500000,53.672501,53.375000,53.667500,50.431427,5260400
2014-05-30,53.970001,53.987499,53.332500,53.707500,50.469013,6136400
2014-06-02,53.842499,53.922501,53.209999,53.380001,50.161255,6364000
2014-06-03,53.257500,53.307499,52.700001,52.830002,49.644421,9011600
2014-06-04,52.790001,52.857498,52.362499,52.857498,49.670261,12589600
2014-06-05,53.029999,53.125000,52.654999,53.055000,49.855843,6597600
2014-06-06,53.132500,53.349998,52.902500,53.250000,50.039085,10002400
2014-06-09,53.372501,53.497501,52.907501,53.145000,49.940418,5516400
2014-06-10,53.250000,53.695000,53.187500,53.562500,50.332756,6835600
2014-06-11,53.247501,53.477501,53.029999,53.169998,49.963921,6758000
2014-06-12,53.097500,53.292500,52.807499,52.942501,49.750137,6218000
2014-06-13,52.967499,53.017502,52.712502,52.822498,49.637367,7085200
2014-06-16,52.720001,52.747501,52.492500,52.560001,49.390709,7899200
2014-06-17,52.535000,52.980000,52.474998,52.702499,49.524609,5722400
2014-06-18,52.612499,52.812500,52.257500,52.812500,49.627968,10326000
2014-06-19,52.867500,53.040001,52.005001,52.580002,49.409496,15331200
2014-06-20,52.880001,53.029999,52.275002,52.372501,49.214508,18358800
2014-06-23,52.250000,52.452499,52.044998,52.367500,49.209816,14765200
2014-06-24,52.317501,52.647499,51.845001,51.947498,48.815113,13089600
2014-06-25,51.827499,52.622501,51.827499,52.264999,49.113483,8244800
2014-06-26,52.457500,52.465000,51.889999,52.240002,49.090000,8580400
2014-06-27,52.025002,52.474998,51.965000,52.320000,49.165173,12961200
2014-06-30,52.165001,52.935001,52.125000,52.677502,49.501110,9961600
2014-07-01,52.987499,53.837502,52.957500,53.562500,50.332756,10993600
2014-07-02,53.720001,53.872501,53.562500,53.709999,50.471355,5768800
2014-07-03,53.827499,54.250000,53.775002,54.127499,50.863674,5571600
2014-07-07,54.107498,54.387501,53.910000,54.185001,50.917717,6612400
2014-07-08,54.192501,54.222500,53.287498,53.814999,50.570015,12149200
2014-07-09,53.875000,54.070000,53.627499,54.040001,50.781460,5177200
2014-07-10,53.450001,54.222500,53.169998,53.884998,50.635803,8536800
2014-07-11,53.987499,54.259998,53.592499,54.250000,50.978794,5696800
2014-07-14,54.687500,55.590000,54.412498,55.257500,51.925549,13716400
2014-07-15,55.417500,56.187500,55.224998,55.445000,52.101746,10900800
2014-07-16,55.735001,55.790001,55.270000,55.667500,52.310818,8853200
2014-07-17,55.485001,55.500000,54.457500,54.470001,51.185528,9806000
2014-07-18,54.794998,55.472500,54.730000,55.049999,51.730556,11068000
2014-07-21,54.882500,55.032501,54.627499,54.805000,51.500332,6168400
2014-07-22,55.230000,55.647499,55.152500,55.314999,51.979572,7699200
2014-07-23,55.372501,55.634998,55.169998,55.299999,51.965488,8189200
2014-07-24,55.847500,55.962502,55.457500,55.685001,52.327263,11947600
2014-07-25,53.525002,54.174999,52.834999,53.692501,50.454918,27530400
2014-07-28,53.605000,53.740002,53.279999,53.555000,50.325699,10401600
2014-07-29,53.599998,53.927502,53.332500,53.375000,50.156544,10577200
2014-07-30,53.372501,53.697498,53.362499,53.514999,50.288101,10422800
2014-07-31,53.317501,53.340000,52.752499,52.752499,49.571594,13874000
2014-08-01,52.467499,53.264999,52.445000,52.952499,49.759533,14100000
2014-08-04,53.212502,53.292500,52.880001,53.040001,49.841759,8079600
2014-08-05,52.875000,53.097500,52.292500,52.634998,49.461189,11151200
2014-08-06,52.494999,52.845001,52.452499,52.672501,49.496422,7528400
2014-08-07,52.794998,52.862499,52.150002,52.259998,49.108776,9568000
2014-08-08,52.220001,52.637501,52.052502,52.615002,49.442383,9256800
2014-08-11,52.759998,52.805000,52.507500,52.645000,49.470577,9018400
2014-08-12,52.522499,52.799999,52.362499,52.575001,49.404793,6442000
2014-08-13,52.737499,53.025002,52.615002,52.857498,49.764912,6451200
2014-08-14,53.022499,53.147499,52.827499,53.130001,50.021481,7136800
2014-08-15,53.222500,53.330002,52.482498,52.547501,49.473057,8999600
2014-08-18,52.872501,53.607498,52.817501,53.580002,50.445152,8352400
2014-08-19,53.687500,53.922501,53.532501,53.750000,50.605206,8212400
2014-08-20,53.645000,54.110001,53.607498,54.049999,50.887650,7296800
2014-08-21,54.125000,54.242500,53.927502,53.937500,50.781723,5544000
2014-08-22,54.049999,54.237499,53.825001,54.022499,50.861755,7145600
2014-08-25,54.299999,54.330002,53.962502,54.005001,50.845276,4962400
2014-08-26,54.122501,54.500000,54.044998,54.182499,51.012398,6944000
2014-08-27,54.279999,54.382500,53.822498,54.282501,51.106533,8035600
2014-08-28,53.750000,53.935001,53.442501,53.650002,50.511047,11083600
2014-08-29,53.639999,53.750000,53.025002,53.130001,50.021481,14646000
2014-09-02,53.352501,53.742500,53.177502,53.682499,50.541641,8066400
2014-09-03,53.767502,54.040001,53.577499,53.724998,50.581665,7788400
2014-09-04,53.860001,54.029999,53.500000,53.564999,50.431023,9492400
2014-09-05,53.590000,53.592499,53.275002,53.552502,50.419254,8202800
2014-09-08,53.502499,54.055000,53.375000,53.942501,50.786442,10266400
2014-09-09,53.822498,53.867500,53.500000,53.570000,50.435726,7328800
2014-09-10,53.517502,54.662498,53.509998,54.220001,51.047707,12646800
2014-09-11,54.174999,54.187500,53.612499,53.737499,50.593414,8861200
2014-09-12,53.720001,53.937500,53.187500,53.509998,50.379230,8710800
2014-09-15,53.462502,53.902500,53.462502,53.660000,50.520458,7036800
2014-09-16,53.727501,54.445000,53.412498,54.325001,51.146557,9211600
2014-09-17,54.250000,54.372501,53.424999,53.882500,50.729946,12321200
2014-09-18,53.982498,54.169998,53.787498,54.110001,50.944122,9215200
2014-09-19,54.422501,54.537498,53.872501,54.062500,50.899418,20475200
2014-09-22,54.244999,54.244999,53.437500,53.470001,50.341587,9074000
2014-09-23,53.474998,53.474998,53.115002,53.115002,50.007355,7959600
2014-09-24,53.195000,53.750000,53.062500,53.602501,50.466328,8336000
2014-09-25,53.509998,53.567501,52.605000,52.677502,49.595448,11729600
2014-09-26,52.862499,53.055000,52.639999,52.985001,49.884953,7178800
2014-09-29,52.552502,52.865002,52.279999,52.732498,49.647221,8788800
2014-09-30,52.792500,53.505001,52.755001,53.342499,50.221542,11456000
