Date,Open,High,Low,Close,Adj Close,Volume
2022-01-04,222.000000,226.789993,221.809998,222.460007,219.929459,10629300
2022-01-05,222.639999,225.270004,219.919998,220.000000,217.497437,9594600
2022-01-06,217.800003,221.910004,217.550003,219.750000,217.250305,7877500
2022-01-07,217.309998,220.199997,215.639999,216.960007,214.492050,10702100
2022-01-10,213.979996,214.199997,206.500000,211.970001,209.558807,11978600
2022-01-11,211.419998,214.949997,208.740005,214.380005,211.941391,8803100
2022-01-12,214.479996,217.580002,213.809998,215.710007,213.256271,6923300
2022-01-13,216.850006,220.479996,214.660004,215.000000,212.554321,8867700
2022-01-14,214.169998,218.250000,213.710007,214.669998,212.228088,8838100
2022-01-18,215.880005,216.910004,214.330002,215.710007,213.256271,9099300
2022-01-19,213.000000,218.229996,212.110001,214.679993,212.237961,9399800
2022-01-20,214.720001,219.600006,213.940002,214.350006,211.911758,8532700
2022-01-21,215.460007,215.600006,205.820007,205.929993,203.587494,16200200
2022-01-24,202.179993,202.720001,195.649994,201.850006,199.553925,16054000
2022-01-25,199.619995,205.380005,196.990005,202.000000,199.702194,12125500
2022-01-26,204.279999,210.860001,203.669998,205.869995,203.528183,10817600
2022-01-27,209.500000,210.960007,205.850006,206.149994,203.804993,12009800
2022-01-28,220.639999,228.119995,216.100006,228.000000,225.406464,26425300
2022-01-31,225.550003,226.380005,222.050003,226.169998,223.597290,12380600
2022-02-01,226.899994,234.610001,226.419998,232.360001,229.716858,12247200
2022-02-02,231.300003,235.850006,230.009995,235.419998,232.742065,10590500
2022-02-03,233.039993,233.490005,230.550003,231.539993,228.906189,9968000
2022-02-04,228.500000,230.220001,224.949997,228.389999,225.792007,10848100
2022-02-07,228.000000,229.919998,226.009995,227.160004,224.576004,5984500
2022-02-08,226.259995,228.500000,224.750000,227.940002,225.347137,7542000
2022-02-09,230.130005,233.149994,230.119995,230.869995,228.243805,7772800
2022-02-10,228.029999,229.949997,224.869995,225.589996,223.386719,6794600
2022-02-11,227.250000,229.100006,223.539993,224.690002,222.495514,7535200
2022-02-14,223.289993,227.259995,222.809998,225.339996,223.139160,8280800
2022-02-15,227.270004,229.289993,224.910004,227.820007,225.594955,9461700
2022-02-16,227.500000,229.880005,225.600006,228.820007,226.585190,9561300
2022-02-17,228.399994,228.809998,224.169998,224.610001,222.416290,8131200
2022-02-18,224.600006,225.740005,221.839996,222.690002,220.515030,8121200
2022-02-22,221.020004,224.339996,219.919998,221.320007,219.158432,9928800
2022-02-23,222.839996,224.279999,215.419998,215.949997,213.840866,8669900
2022-02-24,203.369995,217.860001,201.449997,217.300003,215.177689,13463400
2022-02-25,217.289993,220.679993,214.250000,219.270004,217.128448,8463600
2022-02-28,216.000000,218.649994,213.240005,216.119995,214.009201,8409400
2022-03-01,214.479996,215.149994,207.279999,208.970001,206.929031,9317800
2022-03-02,206.899994,210.539993,206.190002,208.479996,206.443832,8865700
2022-03-03,210.550003,211.500000,206.559998,207.229996,205.206039,8610000
2022-03-04,205.000000,206.369995,196.860001,200.289993,198.333817,10912300
2022-03-07,199.839996,200.179993,190.050003,190.699997,188.837479,13412400
2022-03-08,190.009995,196.419998,186.669998,191.710007,189.837631,11070900
2022-03-09,196.500000,200.500000,195.240005,199.759995,197.808990,8457600
2022-03-10,196.899994,199.940002,196.300003,197.970001,196.036484,7061600
2022-03-11,200.750000,200.839996,196.460007,196.710007,194.788788,5432100
2022-03-14,198.419998,204.429993,198.160004,200.330002,198.373444,7994700
2022-03-15,202.089996,206.410004,201.399994,206.139999,204.126694,8277700
2022-03-16,210.000000,213.669998,207.000000,211.869995,209.800720,9232300
2022-03-17,209.929993,213.539993,208.720001,213.449997,211.365295,6668500
2022-03-18,211.699997,219.259995,210.289993,219.110001,216.970016,14620800
2022-03-21,216.339996,218.059998,214.550003,217.039993,214.920212,6101500
2022-03-22,217.839996,219.570007,217.179993,218.470001,216.336243,6259900
2022-03-23,215.300003,217.289993,214.199997,214.679993,212.583267,6008000
2022-03-24,214.990005,217.660004,214.000000,217.309998,215.187607,5487000
2022-03-25,218.419998,218.929993,215.690002,218.429993,216.296631,5051400
2022-03-28,218.500000,220.979996,217.509995,220.770004,218.613785,4316800
2022-03-29,224.839996,228.809998,223.779999,228.119995,225.891998,8032500
2022-03-30,225.839996,226.160004,222.729996,223.949997,221.762741,7084000
2022-03-31,223.910004,225.919998,220.440002,221.770004,219.604019,10759500
2022-04-01,223.080002,226.630005,222.229996,226.360001,224.149185,6559600
2022-04-04,225.759995,229.240005,224.960007,227.740005,225.515732,8521200
2022-04-05,226.830002,228.990005,225.309998,226.089996,223.881836,4658000
2022-04-06,222.779999,222.869995,218.619995,219.009995,216.870972,7430000
2022-04-07,218.309998,218.679993,213.679993,216.149994,214.038910,6995100
2022-04-08,214.809998,219.410004,213.080002,216.979996,214.860825,5438600
2022-04-11,215.250000,217.300003,213.410004,214.750000,212.652588,6942700
2022-04-12,216.500000,216.990005,210.699997,211.399994,209.335297,7446600
2022-04-13,210.429993,213.850006,207.169998,213.270004,211.187042,8052900
2022-04-14,214.270004,215.949997,212.529999,212.789993,210.711731,8191600
2022-04-18,211.669998,215.830002,211.520004,213.169998,211.088028,4744400
2022-04-19,213.100006,216.509995,212.440002,215.699997,213.593292,5028800
2022-04-20,218.660004,220.820007,217.389999,217.789993,215.662903,7178300
2022-04-21,219.509995,223.919998,215.350006,216.449997,214.335983,8850300
2022-04-22,216.240005,216.559998,207.949997,208.169998,206.136841,6201100
2022-04-25,206.350006,210.529999,205.330002,209.949997,207.899475,6839400
2022-04-26,206.979996,208.559998,201.100006,201.100006,199.135910,8155300
2022-04-27,217.369995,221.800003,213.050003,214.110001,212.018845,15955800
2022-04-28,220.399994,224.929993,219.270004,220.660004,218.504868,10799100
2022-04-29,218.619995,221.199997,212.350006,213.130005,211.048431,7965000
2022-05-02,211.770004,212.139999,206.960007,211.529999,209.464050,8803700
2022-05-03,213.610001,213.610001,206.270004,208.559998,206.523041,6616900
2022-05-04,209.350006,214.800003,205.330002,214.520004,212.424820,7191100
2022-05-05,212.270004,214.580002,203.070007,205.240005,203.235458,7749600
2022-05-06,203.750000,205.720001,200.220001,202.820007,200.839096,8825300
2022-05-09,200.050003,200.750000,192.080002,193.000000,191.115021,10314100
2022-05-10,196.710007,197.750000,190.970001,193.580002,191.689362,11016500
2022-05-11,193.490005,198.320007,191.399994,196.720001,194.798676,9427300
2022-05-12,194.529999,196.059998,189.949997,193.970001,192.442383,9308600
2022-05-13,197.000000,200.539993,196.500000,199.229996,197.660965,6684500
2022-05-16,197.320007,199.940002,195.880005,197.809998,196.252151,5161300
2022-05-17,202.850006,204.800003,200.149994,204.000000,202.393402,7265600
2022-05-18,202.820007,205.460007,199.130005,199.990005,198.414978,8748200
2022-05-19,196.350006,200.419998,193.309998,197.369995,195.815613,9012400
2022-05-20,199.669998,201.660004,194.020004,199.029999,197.462524,6966600
2022-05-23,200.880005,207.960007,200.770004,207.559998,205.925369,12187400
2022-05-24,203.910004,204.669998,199.029999,202.630005,201.034195,7458500
2022-05-25,200.589996,204.949997,200.470001,203.839996,202.234650,5457200
2022-05-26,205.110001,209.740005,204.669998,208.550003,206.907578,9212300
2022-05-27,210.000000,213.229996,209.639999,212.880005,211.203461,4897200
2022-05-31,210.380005,214.350006,209.110001,212.169998,210.499039,9586400
2022-06-01,212.050003,214.110001,208.820007,209.929993,208.276688,5246100
2022-06-02,211.889999,215.250000,211.080002,215.050003,213.356384,5337200
2022-06-03,212.949997,214.210007,211.270004,212.649994,210.975281,4352500
2022-06-06,215.449997,217.580002,212.089996,212.940002,211.263000,3965100
2022-06-07,211.119995,214.970001,210.720001,214.500000,212.810730,4493300
2022-06-08,213.759995,215.570007,212.830002,213.500000,211.818588,3646300
