Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,220.250000,220.250000,214.240005,217.759995,213.968567,10318300
2021-01-05,216.309998,218.460007,213.639999,214.509995,210.775162,6869700
2021-01-06,213.800003,216.169998,212.070007,212.619995,208.918091,7206200
2021-01-07,212.199997,215.220001,212.199997,213.809998,210.087372,10967900
2021-01-08,214.169998,216.119995,212.750000,215.449997,211.698822,6513000
2021-01-11,213.960007,214.860001,212.479996,212.889999,209.183380,7353100
2021-01-12,212.339996,212.789993,207.470001,208.860001,205.223541,9331600
2021-01-13,209.410004,211.000000,208.630005,209.350006,205.705048,6688500
2021-01-14,210.570007,211.210007,201.729996,201.860001,198.345413,12887500
2021-01-15,201.539993,203.259995,200.429993,201.589996,198.080109,8755000
2021-01-19,203.050003,204.169998,200.070007,201.660004,198.148895,9772000
2021-01-20,203.029999,207.190002,202.229996,206.009995,202.423172,12675700
2021-01-21,206.050003,207.169998,204.750000,205.139999,201.568329,6513500
2021-01-22,203.990005,205.330002,201.800003,202.020004,198.502655,7316200
2021-01-25,200.339996,201.639999,195.750000,200.979996,197.480698,19282400
2021-01-26,201.759995,203.490005,200.970001,202.009995,198.492813,9605300
2021-01-27,197.639999,199.699997,193.960007,194.970001,191.575409,13772400
2021-01-28,200.000000,202.000000,198.169998,198.220001,194.768799,11041300
2021-01-29,197.820007,203.050003,192.809998,193.250000,189.885345,21503000
2021-02-01,195.139999,199.210007,195.020004,198.360001,194.906387,12970700
2021-02-02,200.850006,204.350006,200.000000,202.610001,199.082367,11305100
2021-02-03,203.070007,203.509995,200.979996,201.360001,197.854126,13458600
2021-02-04,203.240005,209.679993,203.100006,209.250000,205.606750,14534800
2021-02-05,209.979996,210.130005,208.660004,208.770004,205.135117,10284000
2021-02-08,210.000000,210.649994,205.910004,206.889999,203.287842,8637100
2021-02-09,205.759995,207.630005,203.699997,206.520004,202.924316,7619400
2021-02-10,207.970001,207.970001,205.940002,206.440002,202.845703,8467600
2021-02-11,207.330002,211.589996,207.190002,210.660004,207.313568,8411100
2021-02-12,209.360001,211.130005,207.679993,209.960007,206.624695,6911000
2021-02-16,210.660004,211.050003,207.350006,207.899994,204.597412,9652700
2021-02-17,205.259995,208.279999,205.059998,207.509995,204.213593,8373200
